"COMMUNITY AREA","YEAR","VALUE","GI_VAR"
"55. Hegewisch","2013 - 2017",3.64450127877238,"Pct Black"
"56. Garfield Ridge","1970",8.2,"Pct Black"
"56. Garfield Ridge","1980",13.4018716225122,"Pct Black"
"56. Garfield Ridge","1990",12.7754212324732,"Pct Black"
"56. Garfield Ridge","2000",12.2,"Pct Black"
"56. Garfield Ridge","2010",6.19476718917509,"Pct Black"
"56. Garfield Ridge","2008 - 2012",6.57041838538597,"Pct Black"
"56. Garfield Ridge","2013 - 2017",4.67189728958631,"Pct Black"
"57. Archer Heights","1970",0,"Pct Black"
"57. Archer Heights","1980",0.0824062628759786,"Pct Black"
"57. Archer Heights","1990",0.0216755175029804,"Pct Black"
"57. Archer Heights","2000",0.6,"Pct Black"
"57. Archer Heights","2010",1.30665272903756,"Pct Black"
"57. Archer Heights","2008 - 2012",1.57808545481614,"Pct Black"
"57. Archer Heights","2013 - 2017",1.54149897486521,"Pct Black"
"58. Brighton Park","1970",0.1,"Pct Black"
"58. Brighton Park","1980",0.10724731881703,"Pct Black"
"58. Brighton Park","1990",0.0527835563697333,"Pct Black"
"58. Brighton Park","2000",0.5,"Pct Black"
"58. Brighton Park","2010",1.80303297478399,"Pct Black"
"58. Brighton Park","2008 - 2012",1.33867898885567,"Pct Black"
"58. Brighton Park","2013 - 2017",1.7807332693638,"Pct Black"
"59. McKinley Park","1970",0,"Pct Black"
"59. McKinley Park","1980",0.0377415458937198,"Pct Black"
"59. McKinley Park","1990",0.0752049334436339,"Pct Black"
"59. McKinley Park","2000",0.7,"Pct Black"
"59. McKinley Park","2010",2.04970535485524,"Pct Black"
"59. McKinley Park","2008 - 2012",3.07898259705489,"Pct Black"
"59. McKinley Park","2013 - 2017",1.20504851905879,"Pct Black"
"60. Bridgeport","1970",0.1,"Pct Black"
"60. Bridgeport","1980",0.106716683374834,"Pct Black"
"60. Bridgeport","1990",0.1271881380326,"Pct Black"
"60. Bridgeport","2000",1.1,"Pct Black"
"60. Bridgeport","2010",2.31416330487538,"Pct Black"
"60. Bridgeport","2008 - 2012",1.98889916743756,"Pct Black"
"60. Bridgeport","2013 - 2017",2.77184235517569,"Pct Black"
"61. New City","1970",3.5,"Pct Black"
"61. New City","1980",21.6917293233083,"Pct Black"
"61. New City","1990",40.5215496186075,"Pct Black"
"61. New City","2000",35.3,"Pct Black"
"61. New City","2010",30.3828559839557,"Pct Black"
"61. New City","2008 - 2012",30.43674448429,"Pct Black"
"61. New City","2013 - 2017",22.7160369268022,"Pct Black"
"62. West Elsdon","1970",0,"Pct Black"
"62. West Elsdon","1980",0.0547003203875908,"Pct Black"
"62. West Elsdon","1990",0.0326104679602152,"Pct Black"
"62. West Elsdon","2000",0.5,"Pct Black"
"62. West Elsdon","2010",1.71737809928765,"Pct Black"
"62. West Elsdon","2008 - 2012",2.70284510010537,"Pct Black"
"62. West Elsdon","2013 - 2017",1.3846954711088,"Pct Black"
"63. Gage Park","1970",0,"Pct Black"
"63. Gage Park","1980",0.666803027203927,"Pct Black"
"63. Gage Park","1990",4.7928181919353,"Pct Black"
"63. Gage Park","2000",7,"Pct Black"
"63. Gage Park","2010",6.03348874517471,"Pct Black"
"63. Gage Park","2008 - 2012",4.61106046794287,"Pct Black"
"63. Gage Park","2013 - 2017",3.87297237785335,"Pct Black"
"64. Clearing","1970",0,"Pct Black"
"64. Clearing","1980",0.0221395678356358,"Pct Black"
"64. Clearing","1990",0.0418799441600745,"Pct Black"
"64. Clearing","2000",0.6,"Pct Black"
"64. Clearing","2010",1.4780241151303,"Pct Black"
"64. Clearing","2008 - 2012",0.664729705934143,"Pct Black"
"64. Clearing","2013 - 2017",1.56038777953729,"Pct Black"
"65. West Lawn","1970",0.1,"Pct Black"
"65. West Lawn","1980",0.210117989332471,"Pct Black"
"65. West Lawn","1990",0.247842064780788,"Pct Black"
"65. West Lawn","2000",2.6,"Pct Black"
"65. West Lawn","2010",4.53305351521511,"Pct Black"
"65. West Lawn","2008 - 2012",3.20789074355084,"Pct Black"
"65. West Lawn","2013 - 2017",3.57617494261206,"Pct Black"
"66. Chicago Lawn","1970",0,"Pct Black"
"66. Chicago Lawn","1980",10.2259062016836,"Pct Black"
"66. Chicago Lawn","1990",26.157719103097,"Pct Black"
"66. Chicago Lawn","2000",52.5,"Pct Black"
"66. Chicago Lawn","2010",49.9856187531459,"Pct Black"
"66. Chicago Lawn","2008 - 2012",53.7303629098473,"Pct Black"
"66. Chicago Lawn","2013 - 2017",45.0977437944932,"Pct Black"
"67. West Englewood","1970",48.3,"Pct Black"
"67. West Englewood","1980",97.546279140956,"Pct Black"
"67. West Englewood","1990",98.063366937012,"Pct Black"
"67. West Englewood","2000",97.8,"Pct Black"
"67. West Englewood","2010",96.8793127728489,"Pct Black"
"67. West Englewood","2008 - 2012",95.1238170793903,"Pct Black"
"67. West Englewood","2013 - 2017",91.2827023956698,"Pct Black"
"68. Englewood","1970",96.4,"Pct Black"
"68. Englewood","1980",98.2429115531105,"Pct Black"
"68. Englewood","1990",98.8355287607879,"Pct Black"
"68. Englewood","2000",97.8,"Pct Black"
"68. Englewood","2010",97.8762967312586,"Pct Black"
"68. Englewood","2008 - 2012",97.5610602275881,"Pct Black"
"68. Englewood","2013 - 2017",95.0428713858425,"Pct Black"
"69. Greater Grand Crossing","1970",98.1,"Pct Black"
"69. Greater Grand Crossing","1980",98.3369454641957,"Pct Black"
"69. Greater Grand Crossing","1990",98.8950419211262,"Pct Black"
"69. Greater Grand Crossing","2000",97.8,"Pct Black"
"69. Greater Grand Crossing","2010",97.4173363597325,"Pct Black"
"69. Greater Grand Crossing","2008 - 2012",97.1465944696255,"Pct Black"
"69. Greater Grand Crossing","2013 - 2017",96.5655102940251,"Pct Black"
"70. Ashburn","1970",1.1,"Pct Black"
"70. Ashburn","1980",2.67312300812807,"Pct Black"
"70. Ashburn","1990",9.96710881052518,"Pct Black"
"70. Ashburn","2000",43.1,"Pct Black"
"70. Ashburn","2010",46.8002239478104,"Pct Black"
"70. Ashburn","2008 - 2012",51.7130971300365,"Pct Black"
"70. Ashburn","2013 - 2017",47.8786079649251,"Pct Black"
"71. Auburn Gresham","1970",68.7,"Pct Black"
"71. Auburn Gresham","1980",97.8152060431124,"Pct Black"
"71. Auburn Gresham","1990",98.9365971107544,"Pct Black"
"71. Auburn Gresham","2000",98.1,"Pct Black"
"71. Auburn Gresham","2010",98.206922019572,"Pct Black"
"71. Auburn Gresham","2008 - 2012",98.5332634887376,"Pct Black"
"71. Auburn Gresham","2013 - 2017",96.3265482518691,"Pct Black"
"72. Beverly","1970",0.1,"Pct Black"
"72. Beverly","1980",13.4888698630137,"Pct Black"
"72. Beverly","1990",23.9848112575385,"Pct Black"
"72. Beverly","2000",31.9,"Pct Black"
"72. Beverly","2010",34.481381651193,"Pct Black"
"72. Beverly","2008 - 2012",34.9665504569867,"Pct Black"
"72. Beverly","2013 - 2017",33.911247718759,"Pct Black"
"73. Washington Heights","1970",74.7,"Pct Black"
"73. Washington Heights","1980",97.7807039201163,"Pct Black"
"73. Washington Heights","1990",98.464843993274,"Pct Black"
"73. Washington Heights","2000",97.5,"Pct Black"
"73. Washington Heights","2010",97.8975578454686,"Pct Black"
"73. Washington Heights","2008 - 2012",97.6864839936974,"Pct Black"
"73. Washington Heights","2013 - 2017",96.0514333588315,"Pct Black"
"74. Mount Greenwood","1970",0.1,"Pct Black"
"74. Mount Greenwood","1980",0.458076080462059,"Pct Black"
"74. Mount Greenwood","1990",1.28786693779655,"Pct Black"
"74. Mount Greenwood","2000",3.6,"Pct Black"
"74. Mount Greenwood","2010",5.30037186403394,"Pct Black"
"74. Mount Greenwood","2008 - 2012",5.07171853856563,"Pct Black"
"74. Mount Greenwood","2013 - 2017",3.61052030917674,"Pct Black"
"75. Morgan Park","1970",47.7,"Pct Black"
"75. Morgan Park","1980",62.1729490022173,"Pct Black"
"75. Morgan Park","1990",64.4166043380703,"Pct Black"
"75. Morgan Park","2000",66.7,"Pct Black"
"75. Morgan Park","2010",66.0762478530838,"Pct Black"
"75. Morgan Park","2008 - 2012",64.3975133371545,"Pct Black"
"75. Morgan Park","2013 - 2017",65.859217877095,"Pct Black"
"76. O'Hare","1970",0.2,"Pct Black"
"76. O'Hare","1980",1.47271413082761,"Pct Black"
"76. O'Hare","1990",2.78770550393138,"Pct Black"
"76. O'Hare","2000",2.2,"Pct Black"
"76. O'Hare","2010",3.19054659266072,"Pct Black"
"76. O'Hare","2008 - 2012",1.41063515509601,"Pct Black"
"76. O'Hare","2013 - 2017",1.22744871900486,"Pct Black"
"77. Edgewater","1970",0.6,"Pct Black"
"77. Edgewater","1980",10.8741312477587,"Pct Black"
"77. Edgewater","1990",19.1802711562855,"Pct Black"
"77. Edgewater","2000",17,"Pct Black"
"77. Edgewater","2010",14.7502698112206,"Pct Black"
"77. Edgewater","2008 - 2012",14.9603310863318,"Pct Black"
"77. Edgewater","2013 - 2017",13.4208880550344,"Pct Black"
"City of Chicago","1970",7.3,"Pct Hispanic"
"City of Chicago","1980",14,"Pct Hispanic"
"City of Chicago","1990",19.6,"Pct Hispanic"
"City of Chicago","2000",26,"Pct Hispanic"
"City of Chicago","2010",28.9,"Pct Hispanic"
"City of Chicago","2008 - 2012",28.4231727185972,"Pct Hispanic"
"City of Chicago","2013 - 2017",29.0059891588365,"Pct Hispanic"
"1. Rogers Park","1970",4.6,"Pct Hispanic"
"1. Rogers Park","1980",11.9243583971184,"Pct Hispanic"
"1. Rogers Park","1990",19.8830699923813,"Pct Hispanic"
"1. Rogers Park","2000",27.8,"Pct Hispanic"
"1. Rogers Park","2010",25.9324511001221,"Pct Hispanic"
"1. Rogers Park","2008 - 2012",24.809326082802,"Pct Hispanic"
"1. Rogers Park","2013 - 2017",21.9243761577858,"Pct Hispanic"
"2. West Ridge","1970",1.7,"Pct Hispanic"
"2. West Ridge","1980",3.70691488491551,"Pct Hispanic"
"2. West Ridge","1990",8.25710527120874,"Pct Hispanic"
"2. West Ridge","2000",15.5,"Pct Hispanic"
"2. West Ridge","2010",20.4345166940035,"Pct Hispanic"
"2. West Ridge","2008 - 2012",20.7041584695747,"Pct Hispanic"
"2. West Ridge","2013 - 2017",18.7049793347766,"Pct Hispanic"
"3. Uptown","1970",13.3,"Pct Hispanic"
"3. Uptown","1980",23.2620237836495,"Pct Hispanic"
"3. Uptown","1990",22.5536114287505,"Pct Hispanic"
"3. Uptown","2000",19.9,"Pct Hispanic"
"3. Uptown","2010",14.2099286753486,"Pct Hispanic"
"3. Uptown","2008 - 2012",12.7466133284844,"Pct Hispanic"
"3. Uptown","2013 - 2017",14.3584082245183,"Pct Hispanic"
"4. Lincoln Square","1970",4.2,"Pct Hispanic"
"4. Lincoln Square","1980",11.3141011057014,"Pct Hispanic"
"4. Lincoln Square","1990",23.0625292374864,"Pct Hispanic"
"4. Lincoln Square","2000",25.5,"Pct Hispanic"
"4. Lincoln Square","2010",19.1476970602385,"Pct Hispanic"
"4. Lincoln Square","2008 - 2012",19.3749676350267,"Pct Hispanic"
"4. Lincoln Square","2013 - 2017",16.727795756922,"Pct Hispanic"
"5. North Center","1970",5.4,"Pct Hispanic"
"5. North Center","1980",19.0096982452149,"Pct Hispanic"
"5. North Center","1990",27.4098757952136,"Pct Hispanic"
"5. North Center","2000",20.4,"Pct Hispanic"
"5. North Center","2010",13.5877239777827,"Pct Hispanic"
"5. North Center","2008 - 2012",13.0947393620205,"Pct Hispanic"
"5. North Center","2013 - 2017",11.7130962027439,"Pct Hispanic"
"6. Lake View","1970",13.5,"Pct Hispanic"
"6. Lake View","1980",18.7994134476358,"Pct Hispanic"
"6. Lake View","1990",14.2061495534488,"Pct Hispanic"
"6. Lake View","2000",8.7,"Pct Hispanic"
"6. Lake View","2010",7.62758562224483,"Pct Hispanic"
"6. Lake View","2008 - 2012",7.52856358570112,"Pct Hispanic"
"6. Lake View","2013 - 2017",8.28406489499353,"Pct Hispanic"
"7. Lincoln Park","1970",14.7,"Pct Hispanic"
"7. Lincoln Park","1980",10.4836733979631,"Pct Hispanic"
"7. Lincoln Park","1990",6.51640149283049,"Pct Hispanic"
"7. Lincoln Park","2000",5.1,"Pct Hispanic"
"7. Lincoln Park","2010",5.56959261338823,"Pct Hispanic"
"7. Lincoln Park","2008 - 2012",6.55722486113475,"Pct Hispanic"
"7. Lincoln Park","2013 - 2017",6.56623836951706,"Pct Hispanic"
"8. Near North Side","1970",3.2,"Pct Hispanic"
"8. Near North Side","1980",2.89427844030551,"Pct Hispanic"
"8. Near North Side","1990",2.95343878297954,"Pct Hispanic"
"8. Near North Side","2000",3.9,"Pct Hispanic"
"8. Near North Side","2010",4.93762735450524,"Pct Hispanic"
"8. Near North Side","2008 - 2012",5.57777336181629,"Pct Hispanic"
"8. Near North Side","2013 - 2017",5.96784898698435,"Pct Hispanic"
"9. Edison Park","1970",0.3,"Pct Hispanic"
"9. Edison Park","1980",0.963313799470177,"Pct Hispanic"
"9. Edison Park","1990",1.89917731489585,"Pct Hispanic"
"9. Edison Park","2000",4.1,"Pct Hispanic"
"9. Edison Park","2010",7.72559145568541,"Pct Hispanic"
"9. Edison Park","2008 - 2012",4.47107216310471,"Pct Hispanic"
"9. Edison Park","2013 - 2017",10.2527014379307,"Pct Hispanic"
"10. Norwood Park","1970",0.7,"Pct Hispanic"
"10. Norwood Park","1980",0.960946162375262,"Pct Hispanic"
"10. Norwood Park","1990",2.66443967231369,"Pct Hispanic"
"10. Norwood Park","2000",6.4,"Pct Hispanic"
"10. Norwood Park","2010",11.870068079446,"Pct Hispanic"
"10. Norwood Park","2008 - 2012",13.1868427422608,"Pct Hispanic"
"10. Norwood Park","2013 - 2017",11.7852501624431,"Pct Hispanic"
"11. Jefferson Park","1970",0.4,"Pct Hispanic"
"11. Jefferson Park","1980",1.60680144815523,"Pct Hispanic"
"11. Jefferson Park","1990",4.40187745782063,"Pct Hispanic"
"11. Jefferson Park","2000",11.1,"Pct Hispanic"
"11. Jefferson Park","2010",19.3610499842817,"Pct Hispanic"
"11. Jefferson Park","2008 - 2012",19.9581636845841,"Pct Hispanic"
"11. Jefferson Park","2013 - 2017",22.1874067442554,"Pct Hispanic"
"12. Forest Glen","1970",0.4,"Pct Hispanic"
"12. Forest Glen","1980",1.55336738455058,"Pct Hispanic"
"12. Forest Glen","1990",3.30218068535826,"Pct Hispanic"
"12. Forest Glen","2000",7.7,"Pct Hispanic"
"12. Forest Glen","2010",11.4869245731576,"Pct Hispanic"
"12. Forest Glen","2008 - 2012",12.9867328227807,"Pct Hispanic"
"12. Forest Glen","2013 - 2017",13.749539400958,"Pct Hispanic"
"13. North Park","1970",2.3,"Pct Hispanic"
"13. North Park","1980",5.53918680023571,"Pct Hispanic"
"13. North Park","1990",9.12170485341217,"Pct Hispanic"
"13. North Park","2000",14.3,"Pct Hispanic"
"13. North Park","2010",17.9800345769896,"Pct Hispanic"
"13. North Park","2008 - 2012",18.2933987939591,"Pct Hispanic"
"13. North Park","2013 - 2017",16.7391996603333,"Pct Hispanic"
"14. Albany Park","1970",6.1,"Pct Hispanic"
"14. Albany Park","1980",19.6939772110689,"Pct Hispanic"
"14. Albany Park","1990",31.793297105109,"Pct Hispanic"
"14. Albany Park","2000",46.4,"Pct Hispanic"
"14. Albany Park","2010",49.4489930542082,"Pct Hispanic"
"14. Albany Park","2008 - 2012",52.4277789116277,"Pct Hispanic"
"14. Albany Park","2013 - 2017",47.9439144483767,"Pct Hispanic"
"15. Portage Park","1970",1.1,"Pct Hispanic"
"15. Portage Park","1980",2.59115241765332,"Pct Hispanic"
"15. Portage Park","1990",7.81943977491905,"Pct Hispanic"
"15. Portage Park","2000",23,"Pct Hispanic"
"15. Portage Park","2010",38.7701952467095,"Pct Hispanic"
"15. Portage Park","2008 - 2012",41.4781747591128,"Pct Hispanic"
"15. Portage Park","2013 - 2017",40.763142754964,"Pct Hispanic"
"16. Irving Park","1970",2.9,"Pct Hispanic"
"16. Irving Park","1980",8.62211804643456,"Pct Hispanic"
"16. Irving Park","1990",24.3665144839411,"Pct Hispanic"
"16. Irving Park","2000",43.3,"Pct Hispanic"
"16. Irving Park","2010",45.6005547330347,"Pct Hispanic"
"16. Irving Park","2008 - 2012",45.0321165041672,"Pct Hispanic"
"16. Irving Park","2013 - 2017",43.409149177746,"Pct Hispanic"
"17. Dunning","1970",0.8,"Pct Hispanic"
"17. Dunning","1980",1.61912308505018,"Pct Hispanic"
"17. Dunning","1990",5.09240468652759,"Pct Hispanic"
"17. Dunning","2000",12.9,"Pct Hispanic"
"17. Dunning","2010",23.8409806353143,"Pct Hispanic"
"17. Dunning","2008 - 2012",23.0464205152558,"Pct Hispanic"
"17. Dunning","2013 - 2017",28.0276499805443,"Pct Hispanic"
"18. Montclare","1970",0.7,"Pct Hispanic"
"18. Montclare","1980",1.65848234967108,"Pct Hispanic"
"18. Montclare","1990",11.340206185567,"Pct Hispanic"
"18. Montclare","2000",38.5,"Pct Hispanic"
"18. Montclare","2010",53.9848056010726,"Pct Hispanic"
"18. Montclare","2008 - 2012",51.6732521570841,"Pct Hispanic"
"18. Montclare","2013 - 2017",58.5026117237377,"Pct Hispanic"
"19. Belmont Cragin","1970",1.2,"Pct Hispanic"
"19. Belmont Cragin","1980",5.75593487099736,"Pct Hispanic"
"19. Belmont Cragin","1990",30.0526528959093,"Pct Hispanic"
"19. Belmont Cragin","2000",65.1,"Pct Hispanic"
"19. Belmont Cragin","2010",78.8654229582312,"Pct Hispanic"
"19. Belmont Cragin","2008 - 2012",77.0045580021827,"Pct Hispanic"
"19. Belmont Cragin","2013 - 2017",81.0520786432538,"Pct Hispanic"
"20. Hermosa","1970",3.9,"Pct Hispanic"
"20. Hermosa","1980",31.2119506829693,"Pct Hispanic"
"20. Hermosa","1990",68.8383554537201,"Pct Hispanic"
"20. Hermosa","2000",83.9,"Pct Hispanic"
"20. Hermosa","2010",87.4050379848061,"Pct Hispanic"
"20. Hermosa","2008 - 2012",90.2026487952769,"Pct Hispanic"
"20. Hermosa","2013 - 2017",84.7788270377734,"Pct Hispanic"
"21. Avondale","1970",4.6,"Pct Hispanic"
"21. Avondale","1980",20.4700688996928,"Pct Hispanic"
"21. Avondale","1990",37.5474296635656,"Pct Hispanic"
"21. Avondale","2000",62,"Pct Hispanic"
"21. Avondale","2010",64.4261627018491,"Pct Hispanic"
"21. Avondale","2008 - 2012",65.4205382504453,"Pct Hispanic"
"21. Avondale","2013 - 2017",57.5117747805609,"Pct Hispanic"
"22. Logan Square","1970",17.8,"Pct Hispanic"
"22. Logan Square","1980",51.7046526991317,"Pct Hispanic"
"22. Logan Square","1990",66.2671751104655,"Pct Hispanic"
"22. Logan Square","2000",65.1,"Pct Hispanic"
"22. Logan Square","2010",50.7987177972638,"Pct Hispanic"
"22. Logan Square","2008 - 2012",47.6242105548478,"Pct Hispanic"
"22. Logan Square","2013 - 2017",43.1926089250206,"Pct Hispanic"
"23. Humboldt Park","1970",15.5,"Pct Hispanic"
"23. Humboldt Park","1980",40.7342090040774,"Pct Hispanic"
"23. Humboldt Park","1990",44.0042620573306,"Pct Hispanic"
"23. Humboldt Park","2000",48,"Pct Hispanic"
"23. Humboldt Park","2010",53.3458800134936,"Pct Hispanic"
"23. Humboldt Park","2008 - 2012",51.1913304263031,"Pct Hispanic"
"23. Humboldt Park","2013 - 2017",56.1362468321903,"Pct Hispanic"
"24. West Town","1970",39.2,"Pct Hispanic"
"24. West Town","1980",56.7169286929108,"Pct Hispanic"
"24. West Town","1990",61.9830564518888,"Pct Hispanic"
"24. West Town","2000",46.9,"Pct Hispanic"
"24. West Town","2010",29.2685145441997,"Pct Hispanic"
"24. West Town","2008 - 2012",28.6298714426725,"Pct Hispanic"
"24. West Town","2013 - 2017",25.210174477703,"Pct Hispanic"
"25. Austin","1970",3.6,"Pct Hispanic"
"25. Austin","1980",5.90323562227406,"Pct Hispanic"
"25. Austin","1990",3.64133626697289,"Pct Hispanic"
"25. Austin","2000",4.1,"Pct Hispanic"
"25. Austin","2010",8.85356396045232,"Pct Hispanic"
"25. Austin","2008 - 2012",8.91994865630285,"Pct Hispanic"
"25. Austin","2013 - 2017",13.0149065714886,"Pct Hispanic"
"26. West Garfield Park","1970",0.7,"Pct Hispanic"
"26. West Garfield Park","1980",0.820906540676214,"Pct Hispanic"
"26. West Garfield Park","1990",0.55198173894999,"Pct Hispanic"
"26. West Garfield Park","2000",0.9,"Pct Hispanic"
"26. West Garfield Park","2010",1.93322593189267,"Pct Hispanic"
"26. West Garfield Park","2008 - 2012",1.23858182381174,"Pct Hispanic"
"26. West Garfield Park","2013 - 2017",2.07519673564558,"Pct Hispanic"
"27. East Garfield Park","1970",1,"Pct Hispanic"
"27. East Garfield Park","1980",0.832805573147562,"Pct Hispanic"
"27. East Garfield Park","1990",0.628381190178943,"Pct Hispanic"
"27. East Garfield Park","2000",1,"Pct Hispanic"
"27. East Garfield Park","2010",4.13283415179657,"Pct Hispanic"
"27. East Garfield Park","2008 - 2012",1.72640270219553,"Pct Hispanic"
"27. East Garfield Park","2013 - 2017",3.59428114377125,"Pct Hispanic"
"28. Near West Side","1970",8.9,"Pct Hispanic"
"28. Near West Side","1980",9.95550126516011,"Pct Hispanic"
"28. Near West Side","1990",9.55906227677122,"Pct Hispanic"
"28. Near West Side","2000",9.5,"Pct Hispanic"
"28. Near West Side","2010",9.19808312530748,"Pct Hispanic"
"28. Near West Side","2008 - 2012",8.85486879282008,"Pct Hispanic"
"28. Near West Side","2013 - 2017",9.93287950120881,"Pct Hispanic"
"29. North Lawndale","1970",1.6,"Pct Hispanic"
"29. North Lawndale","1980",2.68631975818247,"Pct Hispanic"
"29. North Lawndale","1990",3.11019959404601,"Pct Hispanic"
"29. North Lawndale","2000",4.5,"Pct Hispanic"
"29. North Lawndale","2010",5.97014925373134,"Pct Hispanic"
"29. North Lawndale","2008 - 2012",4.98974330542773,"Pct Hispanic"
"29. North Lawndale","2013 - 2017",8.73508220435641,"Pct Hispanic"
"30. South Lawndale","1970",31.9,"Pct Hispanic"
"30. South Lawndale","1980",74.0652092973778,"Pct Hispanic"
"30. South Lawndale","1990",85.1839073378104,"Pct Hispanic"
"30. South Lawndale","2000",83,"Pct Hispanic"
"30. South Lawndale","2010",82.5559983856321,"Pct Hispanic"
"30. South Lawndale","2008 - 2012",84.1447340448148,"Pct Hispanic"
"30. South Lawndale","2013 - 2017",83.5152502972572,"Pct Hispanic"
"31. Lower West Side","1970",55,"Pct Hispanic"
"31. Lower West Side","1980",77.5666837222754,"Pct Hispanic"
"31. Lower West Side","1990",88.1127612038376,"Pct Hispanic"
"31. Lower West Side","2000",88.9,"Pct Hispanic"
"31. Lower West Side","2010",82.4345103301742,"Pct Hispanic"
"31. Lower West Side","2008 - 2012",82.1636547557208,"Pct Hispanic"
"31. Lower West Side","2013 - 2017",76.3682802237898,"Pct Hispanic"
"32. Loop","1970",1.7,"Pct Hispanic"
"32. Loop","1980",3.43546889507892,"Pct Hispanic"
"32. Loop","1990",5.68010707712899,"Pct Hispanic"
"32. Loop","2000",6,"Pct Hispanic"
"32. Loop","2010",6.86405081446573,"Pct Hispanic"
"32. Loop","2008 - 2012",5.5077191518416,"Pct Hispanic"
"32. Loop","2013 - 2017",6.88684503901895,"Pct Hispanic"
"33. Near South Side","1970",1.5,"Pct Hispanic"
"33. Near South Side","1980",1.49109485020019,"Pct Hispanic"
"33. Near South Side","1990",1.5817223198594,"Pct Hispanic"
"33. Near South Side","2000",4,"Pct Hispanic"
"33. Near South Side","2010",5.61944834034596,"Pct Hispanic"
"33. Near South Side","2008 - 2012",6.22375895282786,"Pct Hispanic"
"33. Near South Side","2013 - 2017",5.27942421676545,"Pct Hispanic"
"34. Armour Square","1970",6.1,"Pct Hispanic"
"34. Armour Square","1980",4.83366733466934,"Pct Hispanic"
"34. Armour Square","1990",4.36070734191279,"Pct Hispanic"
"34. Armour Square","2000",3.7,"Pct Hispanic"
"34. Armour Square","2010",3.46501381524905,"Pct Hispanic"
"34. Armour Square","2008 - 2012",4.69730123997082,"Pct Hispanic"
"34. Armour Square","2013 - 2017",3.92654523738429,"Pct Hispanic"
"35. Douglas","1970",1.4,"Pct Hispanic"
"35. Douglas","1980",0.876750700280112,"Pct Hispanic"
"35. Douglas","1990",0.825394754012789,"Pct Hispanic"
"35. Douglas","2000",1.1,"Pct Hispanic"
"35. Douglas","2010",2.54962166904266,"Pct Hispanic"
"35. Douglas","2008 - 2012",2.98257548009,"Pct Hispanic"
"35. Douglas","2013 - 2017",3.18079014484385,"Pct Hispanic"
"36. Oakland","1970",0.7,"Pct Hispanic"
"36. Oakland","1980",0.579173632672558,"Pct Hispanic"
"36. Oakland","1990",0.414785897279493,"Pct Hispanic"
"36. Oakland","2000",1,"Pct Hispanic"
"36. Oakland","2010",1.47009124704292,"Pct Hispanic"
"36. Oakland","2008 - 2012",3.65814696485623,"Pct Hispanic"
"36. Oakland","2013 - 2017",4.87584650112867,"Pct Hispanic"
"37. Fuller Park","1970",0.8,"Pct Hispanic"
"37. Fuller Park","1980",1.21742112482853,"Pct Hispanic"
"37. Fuller Park","1990",0.939505041246563,"Pct Hispanic"
"37. Fuller Park","2000",3.4,"Pct Hispanic"
"37. Fuller Park","2010",4.58970792767733,"Pct Hispanic"
"37. Fuller Park","2008 - 2012",5.40355677154583,"Pct Hispanic"
"37. Fuller Park","2013 - 2017",6.37213254035684,"Pct Hispanic"
"38. Grand Boulevard","1970",0.6,"Pct Hispanic"
"38. Grand Boulevard","1980",0.651271840866378,"Pct Hispanic"
"38. Grand Boulevard","1990",0.406719224447725,"Pct Hispanic"
"38. Grand Boulevard","2000",0.8,"Pct Hispanic"
"38. Grand Boulevard","2010",1.80126772766656,"Pct Hispanic"
"38. Grand Boulevard","2008 - 2012",3.01498855341022,"Pct Hispanic"
"38. Grand Boulevard","2013 - 2017",1.68958742632613,"Pct Hispanic"
"39. Kenwood","1970",1,"Pct Hispanic"
"39. Kenwood","1980",1.09675070537908,"Pct Hispanic"
"39. Kenwood","1990",1.32577841346683,"Pct Hispanic"
"39. Kenwood","2000",1.6,"Pct Hispanic"
"39. Kenwood","2010",3.03794630345833,"Pct Hispanic"
"39. Kenwood","2008 - 2012",4.11991199119912,"Pct Hispanic"
"39. Kenwood","2013 - 2017",2.30961661527721,"Pct Hispanic"
"40. Washington Park","1970",0.4,"Pct Hispanic"
"40. Washington Park","1980",0.641928918114921,"Pct Hispanic"
"40. Washington Park","1990",0.247104247104247,"Pct Hispanic"
"40. Washington Park","2000",1,"Pct Hispanic"
"40. Washington Park","2010",0.887599214816079,"Pct Hispanic"
"40. Washington Park","2008 - 2012",1.18428135654046,"Pct Hispanic"
"40. Washington Park","2013 - 2017",2.4169709615719,"Pct Hispanic"
"41. Hyde Park","1970",2.6,"Pct Hispanic"
"41. Hyde Park","1980",2.31104557984486,"Pct Hispanic"
"41. Hyde Park","1990",3.12609151239958,"Pct Hispanic"
"41. Hyde Park","2000",4.1,"Pct Hispanic"
"41. Hyde Park","2010",6.33152914606129,"Pct Hispanic"
"41. Hyde Park","2008 - 2012",5.94551825477563,"Pct Hispanic"
"41. Hyde Park","2013 - 2017",8.37216237372796,"Pct Hispanic"
"42. Woodlawn","1970",1.3,"Pct Hispanic"
"42. Woodlawn","1980",0.784626820471877,"Pct Hispanic"
"42. Woodlawn","1990",0.647908855967677,"Pct Hispanic"
"42. Woodlawn","2000",1.1,"Pct Hispanic"
"42. Woodlawn","2010",2.10291970018801,"Pct Hispanic"
"42. Woodlawn","2008 - 2012",2.22131315197382,"Pct Hispanic"
"42. Woodlawn","2013 - 2017",3.09437854564208,"Pct Hispanic"
"43. South Shore","1970",1.5,"Pct Hispanic"
